title,content
"《大陸金融》陸股亮麗封關 券商股掀漲停潮","【時報-台北電】2020年陸港股市於12月31日封關，在中歐投資協定完成談判，以及大陸官方對資本市場的政策支持下，主要股市指數在最後一個交易日均締造數年來佳績。其中，上證指數收漲1.72％至3,473.07點，創下2018年2月以來新高點。不僅上證指數表現亮眼，深證成指31日收漲1.89％至14,470.68點，創業板指收漲2.27％至2,966.26點，雙雙刷新2015年7月以來新高紀錄。而滬深300指數、科創50指數同樣表現不俗，前者創下2015年6月以來新高，後者全年大漲39.3％。另外，香港恒生指數31日收漲0.31％至27,231.13點，但受到新冠肺炎疫情影響，自2020年1月2日以來累計下跌4.6％。值得注意的是，A股上市的券商股31日掀起漲停潮，中原證券、湘財股份、方正證券等個股均收報漲停。安信證券指出，2021年繼續看好券商股，而權益類投行和重資產業務擴容是2021年券商業績的主要增長點，其中只經營特定業務的投行，及主流券商更具優勢。不過，大陸人力資源社會保障部（簡稱人社部）近日通知指出，調整年金基金投資範圍，將年金基金投資權益類資產比例的政策上限提高10個百分點，合計不得高於投資組合委託投資資產淨值的40％，與全國社保基金權益類投資比例持平。人社部表示，按現有年金規模測算，此次權益比例上限的提高，理論上將為資本市場帶來人民幣（下同）3,000億元的增量資金。新規將於2021年1月1日起實施。前海開源首席經濟學家楊德龍分析，2020年市場的賺錢效應主要集中在績優股上，另一方面形成強烈對比的是業績較差的股票，而題材股則是不斷地被邊緣化，甚至出現多檔股票退市。展望2021年，楊德龍認為，2021年的行情和2020年有很大的雷同，只要不發生「黑天鵝」事件，2021年仍然會穩步震盪回升，雖然指數漲幅不大，大概10至20％。但是好的公司、好的股票仍然會不斷地創新高，帶來很強的賺錢效應。(新聞來源：工商時報─記者蘇崇愷／綜合報導)"
"《電子零件》轉上市題材加持 鴻碩強攻漲停","【時報-台北電】連接線束廠鴻碩（3092）搭上末班車30日送件申請櫃轉市，激勵31日股價強勢走高，以57.7元漲停作收。鴻碩主要產品為各類3C產品訊號線、連接線、消費性高頻線及車用線等各種高頻訊號傳輸線產品，法人推估，如進程順利，可望在第一季底、第二季初轉上市掛牌。鴻碩2020年前三季營收為20.04億元，稅後淨利1.38億元，每股盈餘1.72元，整體業績較2019年同期略減，主要是受到疫情影響所致。不過法人看好，鴻碩2021年在電動車及遊戲機上將迎來新貢獻，加上大陸及越南的新產能開出，以及市況預期會逐漸復甦，鴻碩脫離谷底、漸入佳境可期。鴻碩主要產品為傳輸音源、影像、圖檔、文字等訊號線，過去以顯示器相關市場為主，市占率高達50～60％，以去年前三季產品組合來看，低階VGA約佔營收比重15～20％、高階DP、HDMI、Type-C、USB 3.0/3.1約55～60％，其他如音源線、DC、USB 2.0等約佔15％。鴻碩除了注重垂直整合，也積極開拓顯示器以外的市場，2021年營運動能將增加來自遊戲機、車載、網通、醫療等領域。法人指出，遊戲機舊機種HDMI線從九月起開始由鴻碩交貨，新機種還在爭取中，新增的遊戲機客戶已在2020年通過認證，預計2021年第一季開始交貨，該客戶新一代產品預計三月開始交貨，供應HDMI及USB線。法人表示，鴻碩在顯示器及遊戲機市占率高，但顯示器需求量穩定、遊戲機數量則相對其他產品較小，所以該公司積極跨入其他應用，如車電、網通。其中車電目前主要以束線及影音系統訊號為主，搭上電動車風潮，未來將以供應電動車充電線及動力線為主，2021年將開始出貨給美系電動車品牌，為營運成長的新動能。網通類產品受關稅影響，不少業者轉移生產基地到東南亞或回台，鴻碩主要產能位在大陸蘇州，武漢新廠預計2021上半年蓋完，越南設立的新廠，預計五、六月投產，除了可以生產既有產品，也受惠當地連接線供應商不多，可望爭取到更多新客戶或更多網通訂單。(新聞來源：工商時報─記者王賜麟／台北報導)"
"《半導體》2021年拚翻身 創意鎖漲停",【時報記者王逸芯台北報導】創意(3443)營運最壞時期已經過去，去年第四季在NRE案認列入帳下，法人看好創意營收有機會挑戰歷史新高，展望2021年，AI(人工智慧)、HPC(高速傳輸)、5G等將扮演創意重要成長動能，且在過去1~2年的開案也將在今年陸續步入收割期，加上有台積電(2330)先進製程做後盾，創意今股價率先反映2021年正向預期，早盤後隨即攻上漲停價372.5元鎖住。創意營運最壞時機已經過去，去年第四季營收可望季增二位數成長，且獲利將有明顯反轉。創意去年11月合併營收10.26億元、月增加10.3%，年減18.3%，累計前11個月合併營收115.81億元，年成長20.9%，法人預估，創意去年第四季因數款NRE案認列入帳，5奈米測試晶片設計案帶來營收貢獻，12月營收有機會挑戰歷史新高，季成長上看一成。展望2021年，創意營運動能主要來自於AI、HPC、5G等，將帶動營收及獲利大幅成長，創意在過去1~2年的開案也將在今年陸續步入收割期，尤其在16奈米、7奈米等先進製程的ASIC量產將會進入高速成長階段，且創意還有台積電先進製程當靠山，相關貢獻更是可以樂觀期待；另外，在5G方面，創意在大陸第二大、韓系客戶的訂單有斬獲，預計今年5G網通營收佔比上看2成。
"貨櫃航運開紅盤 陽明開高盤中觸漲停","（中央社記者蔡芃敏台北2021年1月4日電）貨櫃航運今天開紅盤，貨櫃三雄帶量上攻。陽明 (2609) 雖被列為警示股，約每5分鐘撮合一次，但開盤後仍跳空開高，盤中觸及漲停價位，達新台幣32.15元，寫下2005年3月以來新高。受惠海運市場火熱，陽明去年全航線沒有一條航線虧損，為史上首見。陽明認為，受惠於農曆年前出貨潮及缺櫃效應，全線爆滿，由於今年第1季需求持續暢旺，呈現量、價齊揚態勢，同時可望帶動上調歐美長線第2季長約換約價格。長榮 (2603) 則是寫下1999年5月以來新高價，盤中同樣觸及漲停價44.75元。長榮持續受到買盤青睞，截至11時43分，交易量衝破38.3萬張，為台股交易排行第1。萬海 (2615) 盤中高點落在57.5元，上漲4.6元，漲幅逾8%，再度挑戰前高57.7元。根據上海航交所去年12月31日公告，上海出口貨櫃運價指數來到2783.03點，較去年12月25日上漲141.16點。歐洲線每20呎貨櫃運價站上4000美元大關，來到4091美元，地中海線來到4286美元，週漲幅逾15%。北美航線美西線40呎貨櫃運價4018美元，較上週減少62美元。美東線運價為4729美元，較上週減少147美元。陽明今天並發佈新聞稿宣布，為了持續強化區域發展策略，陽明海運與法國NAXCO集團共同成立陽明法國公司，自今年1月1日正式營運，將有利進一步整合區域資源，深化布局歐洲市場。陽明透過THE聯盟航線規劃，部署多條航線，包含亞洲-西北歐、亞洲-地中海、歐洲區間及越大西洋航線。陽明指出，設立陽明法國有利進一步整合區域資源，將積極拓展當地市場，提升陽明在歐洲及地中海地區的市占率。"
"《熱門族群》今年營運現轉機 宏致及詮欣齊漲停","【時報記者張漢綺台北報導】連接器-宏致(3605)及詮欣(6205)蹲低練功，營運可望自今年展現成長力道，在買盤力挺下，宏致及詮欣今天股價連袂漲停板作收。詮欣早期產品集中在PC領域，不過PC產業成長趨勢，公司於2008年啟動轉型，布局車用、資料庫中心/伺服器及工業控制連接器/連接線及網通內部線，去年9月再增加一個PC新團隊，經過12年轉型調整，終於見到營運反轉曙光，可望自今年正式進入新成長期。車用ADAS逐漸成為汽車標配，且電動車搭載車用電子佔比大幅提升，由傳統車搭載車用電子比例20%拉升至50%，讓車用電子產品需求大幅提升，目前詮欣車用產品從原有的車用影音娛樂擴大至車載鏡頭、環車影像、雷達及光達感測，防疲勞駕駛等ADAS相關連接器及線束，並由Teir 2廠供應商升格為Tier 1廠供應商，終端客戶涵蓋歐洲各大品牌車廠，新產品預計明年3月開始放量出貨，詮欣預估，今年車用產品可望較去年成長90%，佔今年營收比重可望達10%，成為2021年到2023年公司營運成長的重要推手，公司目標是2022年到2023年車用產品佔比達30%。詮欣董事長吳連溪表示，公司營運已見到反轉，未來業績可望一年比一年好，樂觀看待今年營運，業績可望遠優於去年。宏致朝「I(工業)C(雲端網通)A(車用電子)N(NB及3C)」轉型，並陸續併購公司強化產品線，朝提供客戶精密零組件整體解決方案廠目標努力，經過10年的耕耘，可望自今年重返榮耀。除強化產品線，宏致過去5年也投資超過10億元進行產線自動化，目前自動化比例達60%，公司也將龍翰及廣迎的廠區與宏致廠區做整併，隨著廠區整併調整結束，可望大幅降低公司生產成本。宏致袁万丁表示，今年起業績可望重回成長軌道，全年營收可望突破百億元，由於3個廠區遷移結束，今年毛利率及獲利也會遠優於今年，法人預估，宏致今年每股盈餘可望上看4元，挑戰10年新高。"
"晶電、隆達合組富采掛牌 直奔91元漲停板","（中央社記者潘智義台北2021年1月6日電）晶元光電 (2448) 及隆達電子 (3698) 因股份轉換，上市股票今天終止上市，兩家公司合組富采投資控股公司 (3714) 普通股也在今天以每股新台幣82.8元掛牌上市，以漲停價91元開出。晶電普通股每股可換發富采投控普通股0.5股，隆達每股換發富采投控0.275股。晶元光電副總經理張世賢日前在證交所開記者會宣布，將鎖定先前取得璨圓光電主要資產，進行財報資產減損約新台幣39.6億元。張世賢指出，因晶電與隆達將在1月6日合組富采投資控股公司，考量新型顯示技術迷你發光二極體（MiniLED）、微發光二極體（Micro LED）研發製造為未來發展重點，因此依業務計畫進行資產減損。晶電109年將認列無形資產及其他資產減損共39.6億元，對晶電109年每股稅後盈餘（EPS）影響為3.7元，將僅承認在晶電財報，不會影響富采的財報，對晶電營運及現金沒有重大的影響。晶電總經理范進雍表示，迷你發光二極體（MiniLED）背光源產品在2020年做準備，2021大量交貨，因受疫情影響，原訂去年出貨卻延至今年第1季出貨，因此農曆新年生產線將不會停下來休息。LED族群當中，榮創 (3437) 盤中來到38.95元，大漲6.42%，光磊科技 (2340) 在平盤25.75元上下游走。鼎元 (2426) 開高走低，億光 (2393) 、宏齊 (6168) 、光鋐 (4956) 、佰鴻 (3031) 都下跌。"
"富采掛牌飆漲停91元 逾2萬張排隊買不到","（中央社記者潘智義台北2021年1月6日電）晶元光電、隆達電子共組的富采投資控股 (3714) 今天成立並同步掛牌上市，股價跳空開高鎖住漲停價91元一價到底，終場委買未成交張數達2萬267張。富采控股今天召開董事會，由李秉傑擔任富采控股董事長暨總經理，並由張博儀擔任財務長暨發言人、張世賢擔任公司治理主管。富采投資控股將分為3大事業領域，晶電將專注在LED磊晶與晶粒、隆達專注於封裝與模組、旗下晶成半導體負責發展先進化合物半導體晶圓製造。富采表示，著眼於快速起飛的迷你發光二極體（Mini LED）、微發光二極體（Micro LED）顯示技術，以及蓬勃發展的新一代化合物半導體，晶電、隆達合組富采控股為台灣產業聯手、資源整合。富采指出，除將持續投資Mini LED、Micro LED顯示器市場，以鞏固領先地位，更將加速化合物半導體在車用、感測、功率元件、5G通訊及晶圓製造領域的先進"
"〈焦點股〉台股七千金掀比價效應 矽力-KY盤中亮燈漲停緊追股王","台股出現七千金榮景，今 (8) 日在資金比價效應拉抬下，矽力 - KY 股價直奔漲停 2565 元緊追股王，信驊、祥碩、譜瑞 - KY 盤中也大漲逾半根停板，IC 設計族群成為多頭指標，聯發科大漲逾 4%，站穩 800 元大關並續創新高，法人看好後續走勢有機會躋身千金俱樂部。聯發科 (2454-TW) 與高通近期在手機晶片市場激烈廝殺，外媒指出，華為與榮耀分家後，新榮耀將在 1 月 12 日推出首款新機，命名為 V40 系列，處理器將搭載聯發科天璣 1000+ 系列。聯發科今日吸引買盤青睞，股價一度大漲逾 5%，衝上 844 元歷史新高，市值攀升至約 1.34 兆元，緊追鴻海 (2317-TW) 的 1.47 兆元，外資樂觀看待聯發科營運，重申「買進」評級，並調升目標價，最高喊到 964 元。股王大立光 (3008-TW) 法說會釋出首季展望保守的訊號，拖累股價走軟，一度跌破 3000 元大關，最低來到 2965 元，反觀股后矽力 - KY(6415-TW) 買氣強強滾，今日強勢攻上漲停板，來到 2565 元，不斷拉近與股王的差距。受惠消費型電子復甦力道強勁，矽力相關電源管理晶片出貨暢旺，累計去年前 11 月營收達 124.92 億元，年增 29.99%，法人估，矽力第四季營收將季增 10-15%，達全年營收最高峰。矽力持續看好今年車用、伺服器與 5G 基地台將持續成長，車用新品包括電源、訊號處理器、電動車充電站等，預計第二季正式放量。資金行情發燒，高價股再度掀起比價效應，信驊 (5274-TW)、祥碩 (5269-TW)、譜瑞 - KY(4966-TW) 三檔 IC 設計股均強勢上漲逾半根停板，最高分別來到 2140、1880、1270 元；新科千金股亞德客 - KY(1590-TW) 今日則在平盤附近整理，旭隼 (6409-TW) 盤中震盪下跌近 2%。"
"《半導體》董座喊話「全年沒有悲觀理由」 群聯飆漲停","【時報記者王逸芯台北報導】群聯(8299) 2020年營運不俗，2021年更延續這波成長趨勢，董事長潘健成表示，NAND Flash需求很強，到第三季恐出現供不應求，今年營運沒有悲觀的理由，今股價反映今年樂觀預期，盤中攻上377元漲停鎖住。群聯2020年12月合併營收為41.75億元，年成長2%、月衰退1%，2020年累計營收達484.97億元，年增率將近9%，創歷年營收新高，且出貨量、市占率也紛紛刷新歷史新高。潘健成表示，NAND Flash目前看到需求很強，到第三季恐出現供不應求，且除5G的趨勢外，因為智慧型手機、筆記型電腦的儲存容量持續加大，這也是將造成供不應求的原因之一。潘健成也點出，以群聯來說，目前消費性產品比重不到30%，遊戲機產品比重約15%至16%，工業類產品約占16%至17%，且嵌入式產品比重已經超過10%，顯示出群聯營運已與NAND Flash季節性脫鉤，他強調，今年營運確實沒有悲觀的理由。群聯加碼興建廠房暨附屬裝卸停車空間，持續擴大研發人才招募，於上周末舉辦動土典禮，群聯廠房附屬停車場興建為地下兩樓及地上九樓的大樓，總投資金額超過8.2億元，總樓板面積約9400坪，規劃增加超過1000位人員使用空間與相對應停車位，預計2022上半年底前完工並落成啟用。此外，群聯五期廠區興建也進入至上樑的階段，預計於今年2021年底前完工並落成啟用，五期廠區將增加1.3萬坪的使用空間，並預估可增加1500至2000位研發工程師，持續維持群聯之全球最大的獨立快閃記憶體控制晶片研發中心之領先地位。若再加上廠房附屬停車場新增之使用空間，整體總使用建坪將一舉超過4.29萬坪，顯示群聯不僅持續為接下來的成長動能佈局，更宣示持續加碼投資台灣及扎根永續經營的決心。潘健成也強調，疫情讓全球的生活與工作型態有了本質的改變，大眾開始逐漸習慣遠距上班、視訊會議、與遠距教學等「新正常」型態；而「新正常」的生活方式也持續的刺激雲端服務應用、線上影音服務、行動設備、與遊戲電競等需求，這些都是群聯近幾年持續佈局的NAND儲存應用領域，也是群聯持續擴增研發人員與研發支出，並在這20年來累計研發總投資超過300億元與土地廠房設備等資本支出超過60億元的主要因素。"
"《熱門族群》台股震盪仍有近30檔漲停 多以中低價股為主","【時報-台北電】台股經過2021年開春大漲後，今（11）日因權值王台積電（2330）拉回，而同步呈現高檔震盪，不過，仍有約30檔個股衝上漲停，早盤除了穩懋（3105）、群聯（8299）及立積（4968）等三、四百元級高價股外，幾乎以50元以下中低價股，尤其30元以下個股約占一半，顯示外資今日可能稍做休息，以內資鎖定特定題材的中小型股。台股周線連10漲，上周更是一口氣大漲731點、漲幅4.96％，由於短線漲幅過大，台積電今日也因創高後，外資買盤休息而拉回，與大盤同步在平盤震盪，呈現高檔整理態勢，但盤面上仍有近30檔個股紛紛拉高衝上漲停，最受關注的是上周五ECB定價的穩懋，因定價套利空間高達37％ 因而帶動今日股價一路攻高，早盤一度觸及漲停。台股盤面上，強勢股仍以航運股為主，在2月貨櫃仍有調漲空間的利多帶動下，航運股續揚帆，中航、慧洋-KY漲停，遊戲股的華義，去年12月營收年增逾五成、鴻海集團的鴻準，以及廣宇等均拉上漲停，而盤面上中低價股的全譜、映興、倉佑、台火、好德、耿鼎、建達及燦星等股，都衝上漲停。（新聞來源：工商即時 呂淑美）"
